lm.labeltext.languageowndirectory;Each language has its own directory inside the /multilanguage directory of your projects. And: some popups (e.g. date input) are defined dependent from the language. Have a look into /HTMLBasedGUI/general to view e.g. calendarpage_*.html files. The tool automatically creates the directories and files for your language.
lm.labeltext.pagecontains;The page contains one or several fields\n in which you did not input a correct value. \n\nDo you want to skip the input of these fields?
lm.labeltext.translateliterals;Translate the literals and message texts listed below and press &quot\;Save&quot\; afterwards.
lm.labeltextdateUjustinput2;The date you just input is not valid. It is after REPLACE.\n\n\nDo you want to skip your input?
lm.lable.appproject;Application Project
lm.lable.prefix;Prefix
lm.menu.file;File
lm.menu.oponitems;Operations on multiple Items
lm.menu.sel;Selection
lm.msg.reallyremove;Do you really want to remove the selected XML layout definitions?
lm.msg.regenlayout;(Re)Generated &1 layout definition(s)
lm.msg.removexml;Removed &1 XML definitions (and corresponding HTML pages)
lm.nofunction;Function not available in demo mode!
lm.removehtmlp;Removed &1 HTML pages
lm.rowarea.dateinputctrl;DATEINPUT Control
lm.rowarea.definelanguage;Define Language
lm.rowarea.fieldvalid;FIELD Validation
lm.rowarea.info;Info
lm.rowarea.layoutdef;Layout Definitions
lm.rowtab.literals;Literals
lm.rowtab.messages;Messages
lm.rowtabarea.application;Application
lm.rowtabarea.directories;Directories
lm.rowtabarea.search;Search
lm.seloneprior;Please select one line prior to starting this function
lm.selonlyone;Please select exactly ONE line in order to start this function
lm.titlebar.languagemanagement;Language Management
lm.titlebar.layoutmanagement;Layout Management
lm.txtgridsss.clm.filename;File Name
lm.txtgridsss.clm.htmlchange;HTML (last change)
lm.txtgridsss.clm.xmlchange;XML (last change)
ls.showLayouts;Show Layout Definitions
lt.alreadyloaded;Literals have already been loaded
lt.btn.comparelanguage;Comparison Language
lt.btn.loadlit;Load literals
lt.btn.usedefaultcsv;Use default.csv
lt.colarea.hints;Hints
lt.colarea.translation;Translation
lt.icon.title.edittextpopup;Edit text in popup
lt.label.appproject;Application Project
lt.label.dir;Directory
lt.label.layout;Layout
lt.label.transfile;Translation File
lt.loadedlit;Loaded literals
lt.nofname;No file name specified
lt.nolanguage;No maintenance language specified
lt.notavail;Function not available in demo mode!
lt.pleasespec;Please specify the file name which you want to maintain
lt.removedtxtids;Removed &1 textids
lt.rowtablearea2.literalmaintenace;Literal Maintenance
lt.savedunder;Saved file under &1
lt.titlebar.littranslationmanagement;Literal Translation Management
mfd2Header.button0;Home
mfd2Header.button1;About
mfd2Header.button2;Logoff
mfd2Header.icon0;Show Monitoring Page
mfd2Header.icon1;Show demo page Hello World!
mfd2Header.icon10;Show DBQuery Control demo
mfd2Header.icon11;Show PDF generation demo
mfd2Header.icon12;Show chart demo
mfd2Header.icon13;Close Navigation Frame
mfd2Header.icon14;Reopen Navigation Frame
mfd2Header.icon15;Close All Workplace Windows 
mfd2Header.icon2;Show DBQuery Control demo
mfd2Header.icon3;Show PDF generation demo
mfd2Header.icon4;Show chart demo
mfd2Header.icon5;Close Navigation Frame
mfd2Header.icon6;Reopen Navigation Frame
mfd2Header.icon7;Close All Workplace Windows 
mfd2Header.icon8;Show Monitoring Page
mfd2Header.icon9;Show demo page Hello World!
mfd2footer.icon0;Further Info
mfd2footer.icon1;Refresh View
mfdHFooter.icon0;Further Info
mfdHFooter.icon1;Refresh View
mfdHFooter.icon2;Workplace Logoff
mfideFooter.icon0;Further Info
mfideFooter.icon1;Refresh View
mfideHeader.button0;Home
mfideHeader.button1;About
mfideHeader.button2;Logoff
mfideHeader.icon0;Show Monitoring Page
mfideHeader.icon1;Show Java API Documentation
mfideHeader.icon10;Show Java API Documentation
mfideHeader.icon11;Start Project Manager Tool
mfideHeader.icon12;Start Layout Manager Tool
mfideHeader.icon13;Start WAR Packager Tool
mfideHeader.icon14;Start Style Sheet Editor Tool
mfideHeader.icon15;Close Navigation Frame
mfideHeader.icon16;Reopen Navigation Frame
mfideHeader.icon17;Close All Workplace Windows 
mfideHeader.icon2;Start Project Manager Tool
mfideHeader.icon3;Start Layout Manager Tool
mfideHeader.icon4;Start WAR Packager Tool
mfideHeader.icon5;Start Style Sheet Editor Tool
mfideHeader.icon6;Close Navigation Frame
mfideHeader.icon7;Reopen Navigation Frame
mfideHeader.icon8;Close All Workplace Windows 
mfideHeader.icon9;Show Monitoring Page
onlineHelp.titlebar0;Online Help
ov.eval5only;Eval-version only! Max. 5 layouts may be maintained.
ov.evalonly;Eval-version only! You may only maintain layouts within the cisyourfirstproject-project.
ov.pleasespec;Please specify application project prior to creating new layout.
persfilteredit.button0;Change Scenario...
pm.donotblank;Do not use \\/:*?"<>|#+& or .html or blank spaces as part of your name.
pm.inputname;Please input a name for the new application project.
pm.labeltext.pleasenote;Please note: you have to create a context root inside your servlet engine! The name of the context root is the name of the application project. In the native Application Designer environment this is done automatically by restarting the Server.
pm.labeltext.pleasepayatt;Please pay attention when removing the selected application projects. You may lose data!
pm.noappproject;No application project is selected from project list.
pm.nofunction;Function not available in demo mode!
pm.projectalready;Project &1 already exists.
pm.removedc;Removed &1 application projects.
pm.rowarea.ceatenewapp;Create New Application Project
pm.rowarea.existingapp;Existing Application Projects
pm.rowarea.removeapp;Remove Application Project
pm.titlebar.appproject;Application Projects Management
pm.txtgrid2.clm.pdir;Project Directory
pm.txtgrid2.clm.pname;Project Name
pn.label.appproject;Application Project 
report.calls;Calls
report.code;Code
report.comment;Comment
report.deterr;Details on Errors
report.dura;Duration
report.err;ERR
report.finish;Finished
report.max;Max
report.min;Min
report.ok;OK
report.overview;Overview
report.request;Request
report.tracethreads;Trace Threads
report.trcfilename;Trace file name: &1
report.working;Working
sc.btn.open;Open
sc.label.activesel;Active Selection
sc.label.bgcolor;Background Color
sc.label.bgimage;Background Image
sc.label.color;Color
sc.label.color1;(1)
sc.label.color2;(2)
sc.label.color3;(3)
sc.label.ctrlborder;Control Border
sc.label.darkbg;Dark Background
sc.label.darktitlebar;Dark (Titlebar)
sc.label.defaultdarkbgcolor;Default (Dark Background)
sc.label.displaycolor;Display Color
sc.label.edgedstyle;Edged style
sc.label.editcolor;Edit Color
sc.label.editpopupcolor;Edit Popup Only Color
sc.label.emptyrows;Empty Rows
sc.label.errctrl;Error Control
sc.label.evenrows;Even Rows
sc.label.fontname;Font Name
sc.label.fontsize;Font Size
sc.label.headlines;Headlines
sc.label.lightbg;Light Background
sc.label.oddrows;Odd Rows
sc.label.selectedctrl;Selected Control
sc.label.selectedrows;Selected Rows
sc.label.seltabbgcolor;Selected Tab's Background Color
sc.label.stdheight;Standard Height
sc.label.titlebar;Titlebar
sc.label.topic10color;Topic10 Color
sc.label.topic1color;Topic1 Color
sc.label.topic2color;Topic2 Color
sc.label.topic3color;Topic3 Color
sc.label.topic4color;Topic4 Color
sc.label.topic5color;Topic5 Color
sc.label.topic6color;Topic6 Color
sc.label.topic7color;Topic7 Color
sc.label.topic8color;Topic8 Color
sc.label.topic9color;Topic9 Color
sc.label.unseltabbgcolor;Unselected Tab's Background Color
sc.label.variant;Variant
sc.labeltext.afterfirsttime;After first time applying the style sheet you have to explicitly refresh this frame in order to see your newest style sheet settings. Refreshing is done by pressing the right mouse-button and then selecting the refresh-function.
sc.labeltext.ifcolorspecified;If a color is specified then no background image is displayed.
sc.labeltext.inversecolor;The Inverse Color (white by default) - used in all controls with dark background color (e.g. titlebar) 
sc.labeltext.open;Either open an existing style variant - or input the name of a new style variant. Then press &quot\;Open&quot\;.
sc.labeltext.popuptxtcolor;Text Color used within the popup help of input controls (gray by default)
sc.labeltext.refresh;Use &quot\;Refresh&quot\; in order to adapt your existing style sheet(s) to CIS style changes that may occur when upgrading the system.
sc.labeltext.stdtxtcolor;Standard Text Color (black by default)
sc.msg.inputvariant;Please input variant
sc.msg.stylerefreshed;Refreshed style variant &1
sc.msg.stylesrefreshed;Refreshed style variants: &1
sc.rowarea.bgcolors;Background Colors
sc.rowarea.button;Button
sc.rowarea.field;Field
sc.rowarea.font;Font
sc.rowarea.inputcontrols;Input Controls
